symbol,sector
RELIANCE,Energy
TCS,IT
INFY,IT
HCLTECH,IT
WIPRO,IT
TECHM,IT
COFORGE,IT
LTIM,IT
SUNPHARMA,Pharma
CIPLA,Pharma
DRREDDY,Pharma
DIVISLAB,Pharma
HDFCBANK,Banking
ICICIBANK,Banking
SBIN,Banking
AXISBANK,Banking
KOTAKBANK,Banking
M&M,Auto
MARUTI,Auto
TATAMOTORS,Auto
EICHERMOT,Auto
BAJAJ-AUTO,Auto
ITC,FMCG
HINDUNILVR,FMCG
NESTLEIND,FMCG
BRITANNIA,FMCG
BHARTIARTL,Telecom
LT,Capital Goods
BEL,Defence
HAL,Defence
TRENT,Retail
TITAN,Consumer Durables
ASIANPAINT,Consumer Durables
JSWSTEEL,Metals
TATASTEEL,Metals
HINDALCO,Metals
NTPC,Power
POWERGRID,Power
TATAPOWER,Power
ONGC,Energy
IOC,Energy
BPCL,Energy
ADANIPORTS,Infrastructure
ULTRACEMCO,Cement
DLF,Realty
PERSISTENT,IT
MPHASIS,IT
LUPIN,Pharma
TORNTPHARM,Pharma
APOLLOHOSP,Healthcare
MAXHEALTH,Healthcare
SHRIRAMFIN,Finance
BAJFINANCE,Finance
BAJAJFINSV,Finance
CHOLAFIN,Finance
